03.09.2025 20:28:06 | IP: ::1 | DELETE | /api/comments/68b87a95d3602687a56ca584 | Status: 200 | 173ms
03.09.2025 20:28:07 | IP: ::1 | GET | /api/comments | Status: 200 | 166ms
03.09.2025 20:28:12 | IP: ::1 | GET | /api/comments?onaylandi=true | Status: 200 | 167ms
04.09.2025 20:37:54 | IP: ::1 | GET | /api/comments?onaylandi=true | Status: 304 | 178ms
04.09.2025 20:38:09 | IP: ::1 | GET | /api/comments?onaylandi=true | Status: 304 | 177ms
04.09.2025 20:38:16 | IP: ::1 | GET | /api/admin/stats | Status: 403 | 3ms
04.09.2025 20:38:16 | IP: ::1 | GET | /favicon.ico | Status: 404 | 1ms
04.09.2025 20:38:24 | IP: ::1 | GET | /api/comments?onaylandi=true | Status: 304 | 173ms
04.09.2025 20:38:37 | IP: ::1 | POST | /admin-login | Status: 200 | 252ms
04.09.2025 20:38:37 | IP: ::1 | GET | /api/admin/stats | Status: 200 | 523ms
04.09.2025 20:38:39 | IP: ::1 | GET | /api/comments?onaylandi=true | Status: 304 | 181ms
04.09.2025 20:38:42 | IP: ::1 | GET | /api/comments | Status: 304 | 177ms
04.09.2025 20:38:43 | IP: ::1 | GET | /api/users | Status: 304 | 176ms
04.09.2025 20:38:54 | IP: ::1 | GET | /api/comments?onaylandi=true | Status: 304 | 173ms
04.09.2025 20:39:05 | IP: ::1 | POST | /api/comments | Status: 201 | 180ms
04.09.2025 20:39:09 | IP: ::1 | GET | /api/comments?onaylandi=true | Status: 200 | 171ms
04.09.2025 20:39:12 | IP: ::1 | GET | /api/comments | Status: 200 | 172ms
04.09.2025 20:39:17 | IP: ::1 | PUT | /api/comments/68b9ceb852142f2b7f5d63c4/onayla | Status: 200 | 185ms
04.09.2025 20:39:19 | IP: ::1 | GET | /api/comments | Status: 200 | 171ms
04.09.2025 20:39:24 | IP: ::1 | GET | /api/comments?onaylandi=true | Status: 200 | 171ms
04.09.2025 20:39:27 | IP: ::1 | GET | /api/comments | Status: 304 | 174ms
04.09.2025 20:39:28 | IP: ::1 | GET | /api/comments | Status: 304 | 173ms
04.09.2025 20:39:31 | IP: ::1 | PUT | /api/comments/68b9ceb852142f2b7f5d63c4/onayla | Status: 200 | 174ms
04.09.2025 20:39:32 | IP: ::1 | GET | /api/comments | Status: 304 | 171ms
04.09.2025 20:39:34 | IP: ::1 | DELETE | /api/comments/68b9ceb852142f2b7f5d63c4 | Status: 200 | 175ms
04.09.2025 20:39:36 | IP: ::1 | GET | /api/comments | Status: 200 | 188ms
04.09.2025 20:39:39 | IP: ::1 | GET | /api/comments?onaylandi=true | Status: 200 | 177ms
